,cve,assigner,published,title,description,vendor,product,affected versions,rating
4197,CVE-2025-25296,GitHub_M,2025-02-14T19:24:03.961Z,Label Studio allows Cross-Site Scripting (XSS) via GET request to `/projects/upload-example` endpoint,"Label Studio is an open source data labeling tool. Prior to version 1.16.0, Label Studio's `/projects/upload-example` endpoint allows injection of arbitrary HTML through a `GET` request with an appropriately crafted `label_config` query parameter. By crafting a specially formatted XML label config with inline task data containing malicious HTML/JavaScript, an attacker can achieve Cross-Site Scripting (XSS). While the application has a Content Security Policy (CSP), it is only set in report-only mode, making it ineffective at preventing script execution. The vulnerability exists because the upload-example endpoint renders user-provided HTML content without proper sanitization on a GET request. This allows attackers to inject and execute arbitrary JavaScript in victims' browsers by getting them to visit a maliciously crafted URL. This is considered vulnerable because it enables attackers to execute JavaScript in victims' contexts, potentially allowing theft of sensitive data, session hijacking, or other malicious actions. Version 1.16.0 contains a patch for the issue.",HUMANSIGNAL,label-studio,< 1.16.0,warm
4198,CVE-2025-25297,GitHub_M,2025-02-14T19:25:50.893Z,Label Studio allows Server-Side Request Forgery in the S3 Storage Endpoint,"Label Studio is an open source data labeling tool. Prior to version 1.16.0, Label Studio's S3 storage integration feature contains a Server-Side Request Forgery (SSRF) vulnerability in its endpoint configuration. When creating an S3 storage connection, the application allows users to specify a custom S3 endpoint URL via the s3_endpoint parameter. This endpoint URL is passed directly to the boto3 AWS SDK without proper validation or restrictions on the protocol or destination. The vulnerability allows an attacker to make the application send HTTP requests to arbitrary internal services by specifying them as the S3 endpoint. When the storage sync operation is triggered, the application attempts to make S3 API calls to the specified endpoint, effectively making HTTP requests to the target service and returning the response in error messages. This SSRF vulnerability enables attackers to bypass network segmentation and access internal services that should not be accessible from the external network. The vulnerability is particularly severe because error messages from failed requests contain the full response body, allowing data exfiltration from internal services. Version 1.16.0 contains a patch for the issue.",HUMANSIGNAL,label-studio,< 1.16.0,warm
4201,CVE-2025-25301,GitHub_M,2025-03-03T16:36:09.633Z,Rembg allows SSRF via /api/remove,"Rembg is a tool to remove images background. In Rembg 2.0.57 and earlier, the /api/remove endpoint takes a URL query parameter that allows an image to be fetched, processed and returned. An attacker may be able to query this endpoint to view pictures hosted on the internal network of the rembg server. This issue may lead to Information Disclosure.",DANIELGATIS,rembg,<= 2.0.57,warm
4202,CVE-2025-25302,GitHub_M,2025-03-03T16:40:34.811Z,Rembg CORS misconfiguration,"Rembg is a tool to remove images background. In Rembg 2.0.57 and earlier, the CORS middleware is setup incorrectly. All origins are reflected, which allows any website to send cross site requests to the rembg server and thus query any API. Even if authentication were to be enabled, allow_credentials is set to True, which would allow any website to send authenticated cross site requests.",DANIELGATIS,rembg,<= 2.0.57,warm
4203,CVE-2025-25303,GitHub_M,2025-03-03T16:47:10.222Z,Server-Side Request Forgery (SSRF) in MouseTooltipTranslator,"The MouseTooltipTranslator Chrome extension allows mouseover translation of any language at once. The MouseTooltipTranslator browser extension is vulnerable to SSRF attacks. The pdf.mjs script uses the URL parameter from the current URL as the file to download and display to the extension user. Because pdf.mjs is imported in viewer.html and viewer.html is accessible to all URLs, an attacker can force the user’s browser to make a request to any arbitrary URL. After discussion with maintainer, patching this issue would require disabling a major feature of the extension in exchange for a low severity vulnerability. Decision to not patch issue.",TTOP32,MouseTooltipTranslator,<= 0.1.127,warm
4240,CVE-2025-25427,TPLink,2025-04-18T00:03:00.275Z,XSS in TP-Link TL-WR841N v14/v14.6/v14.8 Upnp page,A stored cross-site scripting (XSS) vulnerability in the upnp.htm page of the web Interface in TP-Link WR841N v14/v14.6/v14.8 <= Build 241230 Rel. 50788n allows remote attackers to inject arbitrary JavaScript code via the port mapping description. This leads to an execution of the JavaScript payload when the upnp page is loaded.,TP-LINK SYSTEMS,TL-WR841N v14/v14.6/v14.8,0,warm
4344,CVE-2025-25724,mitre,2025-03-02T00:00:00.000Z,,"list_item_verbose in tar/util.c in libarchive through 3.7.7 does not check an strftime return value, which can lead to a denial of service or unspecified other impact via a crafted TAR archive that is read with a verbose value of 2. For example, the 100-byte buffer may not be sufficient for a custom locale.",LIBARCHIVE,libarchive,0,warm
4498,CVE-2025-26168,mitre,2025-05-07T00:00:00.000Z,,"IXON VPN Client before 1.4.4 on Linux and macOS allows Local Privilege Escalation to root because there is code execution from a configuration file that can be controlled by a low-privileged user. There is a race condition in which a temporary configuration file, in a world-writable directory, can be overwritten.",IXON,VPN Client,0,warm
4499,CVE-2025-26169,mitre,2025-05-07T00:00:00.000Z,,"IXON VPN Client before 1.4.4 on Windows allows Local Privilege Escalation to SYSTEM because there is code execution from a configuration file that can be controlled by a low-privileged user. There is a race condition in which a temporary configuration file, in a world-writable directory, can be overwritten.",IXON,VPN Client,0,warm
4525,CVE-2025-26312,mitre,2025-03-14T00:00:00.000Z,,SendQuick Entera devices before 11HF5 are vulnerable to CAPTCHA bypass by removing the Captcha parameter.,SENDQUICK,Entera,0,warm
4526,CVE-2025-26318,mitre,2025-03-04T00:00:00.000Z,,hb.exe in TSplus Remote Access before 17.30 2024-10-30 allows remote attackers to retrieve a list of all domain accounts currently connected to the application.,TSPLUS,TSplus Remote Access,0,warm
4531,CVE-2025-26330,dell,2025-04-10T02:10:11.578Z,,"Dell PowerScale OneFS, versions 9.4.0.0 through 9.10.0.1, contains an incorrect authorization vulnerability. An unauthenticated attacker with local access could potentially exploit this vulnerability to access the cluster with previous privileges of a disabled user account.",DELL,PowerScale OneFS,9.4.0.0; 9.7.0.0,hot
4532,CVE-2025-26331,dell,2025-03-07T08:06:12.680Z,,"Dell ThinOS 2411 and prior, contains an Improper Neutralization of Special Elements used in a Command ('Command Injection') vulnerability. A low privileged attacker with local access could potentially exploit this vulnerability, leading to arbitrary code execution.",DELL,Wyse Proprietary OS (Modern ThinOS),,hot
4535,CVE-2025-26336,dell,2025-03-21T02:23:46.785Z,,"Dell Chassis Management Controller Firmware for Dell PowerEdge FX2, version(s) prior to 2.40.200.202101130302, and Dell Chassis Management Controller Firmware for Dell PowerEdge VRTX version(s) prior to 3.41.200.202209300499, contain(s) a Stack-based Buffer Overflow vulnerability. An unauthenticated attacker with remote access could potentially exploit this vulnerability, leading to Remote execution.",DELL,Dell Chassis Management Controller (CMC) for Dell PowerEdge FX2; Dell Chassis Management Controller (CMC) for PowerEdge VRTX,,hot
4536,CVE-2025-26339,Nozomi,2025-02-12T13:26:40.883Z,,"A CWE-306 ""Missing Authentication for Critical Function"" in maxtime/handleRoute.lua in Q-Free MaxTime less than or equal to version 2.11.0 allows an unauthenticated remote attacker to affect the device confidentiality, integrity, or availability in multiple unspecified ways via crafted HTTP requests.",Q-FREE,MaxTime,0,hot
4537,CVE-2025-26340,Nozomi,2025-02-12T13:26:53.241Z,,"A CWE-321 ""Use of Hard-coded Cryptographic Key"" in the JWT signing in Q-Free MaxTime less than or equal to version 2.11.0 allows an unauthenticated remote attacker to bypass the authentication via crafted HTTP requests.",Q-FREE,MaxTime,0,warm
4538,CVE-2025-26341,Nozomi,2025-02-12T13:27:01.120Z,,"A CWE-306 ""Missing Authentication for Critical Function"" in maxprofile/accounts/routes.lua in Q-Free MaxTime less than or equal to version 2.11.0 allows an unauthenticated remote attacker to reset arbitrary user passwords via crafted HTTP requests.",Q-FREE,MaxTime,0,hot
4539,CVE-2025-26342,Nozomi,2025-02-12T13:27:08.060Z,,"A CWE-306 ""Missing Authentication for Critical Function"" in maxprofile/accounts/routes.lua in Q-Free MaxTime less than or equal to version 2.11.0 allows an unauthenticated remote attacker to create arbitrary users, including administrators, via crafted HTTP requests.",Q-FREE,MaxTime,0,hot
4540,CVE-2025-26343,Nozomi,2025-02-12T13:27:15.132Z,,"A CWE-1390 ""Weak Authentication"" in the PIN authentication mechanism in Q-Free MaxTime less than or equal to version 2.11.0 allows an unauthenticated remote attacker to brute-force user PINs via multiple crafted HTTP requests.",Q-FREE,MaxTime,0,warm
4541,CVE-2025-26344,Nozomi,2025-02-12T13:27:21.371Z,,"A CWE-306 ""Missing Authentication for Critical Function"" in maxprofile/guest-mode/routes.lua in Q-Free MaxTime less than or equal to version 2.11.0 allows an unauthenticated remote attacker to enable passwordless guest mode via crafted HTTP requests.",Q-FREE,MaxTime,0,hot
4542,CVE-2025-26345,Nozomi,2025-02-12T13:27:28.560Z,,"A CWE-306 ""Missing Authentication for Critical Function"" in maxprofile/menu/routes.lua in Q-Free MaxTime less than or equal to version 2.11.0 allows an unauthenticated remote attacker to edit user group permissions via crafted HTTP requests.",Q-FREE,MaxTime,0,hot
4543,CVE-2025-26346,Nozomi,2025-02-12T13:27:34.734Z,,"A CWE-89 ""Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')"" in maxprofile/menu/model.lua (editUserGroupMenu endpoint) in Q-Free MaxTime less than or equal to version 2.11.0 allows an authenticated remote attacker to execute arbitrary SQL commands via crafted HTTP requests.",Q-FREE,MaxTime,0,warm
4544,CVE-2025-26347,Nozomi,2025-02-12T13:27:47.970Z,,"A CWE-306 ""Missing Authentication for Critical Function"" in maxprofile/menu/routes.lua in Q-Free MaxTime less than or equal to version 2.11.0 allows an unauthenticated remote attacker to edit user permissions via crafted HTTP requests.",Q-FREE,MaxTime,0,hot
4545,CVE-2025-26348,Nozomi,2025-02-12T13:27:54.227Z,,"A CWE-89 ""Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')"" in maxprofile/menu/model.lua (editUserMenu endpoint) in Q-Free MaxTime less than or equal to version 2.11.0 allows an authenticated remote attacker to execute arbitrary SQL commands via crafted HTTP requests.",Q-FREE,MaxTime,0,warm
4546,CVE-2025-26349,Nozomi,2025-02-12T13:27:59.971Z,,"A CWE-23 ""Relative Path Traversal"" in the file upload mechanism in Q-Free MaxTime less than or equal to version 2.11.0 allows an authenticated remote attacker to overwrite arbitrary files via crafted HTTP requests.",Q-FREE,MaxTime,0,warm
4547,CVE-2025-26350,Nozomi,2025-02-12T13:28:05.735Z,,"A CWE-434 ""Unrestricted Upload of File with Dangerous Type"" in the template file uploads in Q-Free MaxTime less than or equal to version 2.11.0 allows an authenticated remote attacker to upload malicious files via crafted HTTP requests.",Q-FREE,MaxTime,0,warm
4548,CVE-2025-26351,Nozomi,2025-02-12T13:28:11.526Z,,"A CWE-35 ""Path Traversal"" in the template download mechanism in Q-Free MaxTime less than or equal to version 2.11.0 allows an authenticated remote attacker to read sensitive files via crafted HTTP requests.",Q-FREE,MaxTime,0,warm
4549,CVE-2025-26352,Nozomi,2025-02-12T13:28:17.120Z,,"A CWE-35 ""Path Traversal"" in the template deletion mechanism in Q-Free MaxTime less than or equal to version 2.11.0 allows an authenticated remote attacker to delete sensitive files via crafted HTTP requests.",Q-FREE,MaxTime,0,warm
4550,CVE-2025-26353,Nozomi,2025-02-12T13:28:23.011Z,,"A CWE-35 ""Path Traversal"" in maxtime/api/sql/sql.lua in Q-Free MaxTime less than or equal to version 2.11.0 allows an authenticated remote attacker to read sensitive files via crafted HTTP requests.",Q-FREE,MaxTime,0,warm
4551,CVE-2025-26354,Nozomi,2025-02-12T13:28:28.951Z,,"A CWE-35 ""Path Traversal"" in maxtime/api/database/database.lua (copy endpoint) in Q-Free MaxTime less than or equal to version 2.11.0 allows an authenticated remote attacker to overwrite sensitive files via crafted HTTP requests.",Q-FREE,MaxTime,0,warm
4552,CVE-2025-26355,Nozomi,2025-02-12T13:28:34.414Z,,"A CWE-35 ""Path Traversal"" in maxtime/api/database/database.lua in Q-Free MaxTime less than or equal to version 2.11.0 allows an authenticated remote attacker to delete sensitive files via crafted HTTP requests.",Q-FREE,MaxTime,0,warm
